isbn,naziv_knjige,autor,drzava_nastanka,jezik,izdavacka_kuca,datum_izdavanja,broj_stranica,uvez,wikipedia,zanr
9789531403948,Božić Herculea Poirota,Agatha Christie{ datum_rodjenja:1890-09-15},Ujedinjeno Kraljevstvo,hrvatski,Mozaik Knjiga,1938-12-19,255,meki,https://en.wikipedia.org/wiki/Hercule_Poirot%27s_Christmas,fikcija
97-81524763-138,Becoming,Michelle Obama{ datum_rodjenja:1964-01-17},USA,engleski,Crown,2018-11-13,448,tvrdi,https://en.wikipedia.org/wiki/Becoming_(book),biografija
978-1-982110-56-7,The Institute,Stephen King{ datum_rodjenja:1947-09-21},USA,engleski,Scribner,2019-09-10,576,tvrdi,https://en.wikipedia.org/wiki/The_Institute_(novel),horor roman
978-0141439518,Pride and Prejudice,Jane Austen{ datum_rodjenja:1775-12-16},Ujedinjeno Kraljevstvo,engleski,Penguin Books,2002-12-31,480,meki,https://en.wikipedia.org/wiki/Pride_and_Prejudice,roman
978-0-14-241214-5,Let It Snow: Three Holiday Romances,"John Green{ datum_rodjenja:1977-08-27},Lauren Myracle{ datum_rodjenja:1969-01-15},Maureen Johnson{ datum_rodjenja:1973-02-16}",USA,engleski,The Penguin Group,2008-10-02,368,meki,https://en.wikipedia.org/wiki/Let_It_Snow:_Three_Holiday_Romances,romanticni roman
1481818104,Little Women,Louisa May Alcott{ datum_rodjenja:1832-11-29},USA,engleski,CreateSpace Independent Publishing Platform,1868-03-25,759,tvrdi,https://en.wikipedia.org/wiki/Little_Women,roman
9789536450305,Harry Potter i Kamen mudraca,J. K. Rowling{ datum_rodjenja:1965-07-31},Ujedinjeno Kraljevstvo,hrvatski,Algoritam,1997-06-26,246,tvrdi,https://hr.wikipedia.org/wiki/Harry_Potter_i_Kamen_mudraca,fantastika
978-3426281970,The President Is Missing,"Bill Clinton{ datum_rodjenja:1946-08-19},James Patterson{ datum_rodjenja:1947-03-22}",USA,njemacki,Droemer HC,2018-01-01,528,tvrdi,https://en.wikipedia.org/wiki/The_President_Is_Missing_(novel),politicki roman
978-0-670-69199-9,The Talisman,"Peter Straub{ datum_rodjenja:1943-03-02},Stephen King{ datum_rodjenja:1947-09-21}",USA,engleski,Pocket Books,2012-09-25,785,tvrdi,https://en.wikipedia.org/wiki/The_Talisman_(King_and_Straub_novel),roman
978-0-439-41138-7,Click,"David Almond{ datum_rodjenja:1951-05-15},Eoin Colfer{ datum_rodjenja:1965-05-15},Roddy Doyle{ datum_rodjenja:1958-05-08},Deborah Ellis{ datum_rodjenja:1960-08-07},Nick Hornby{ datum_rodjenja:1957-04-17},Margo Lanagan{ datum_rodjenja:1960-06-05},Gregory Maguire{ datum_rodjenja:1954-06-09},Ruth Ozeki{ datum_rodjenja:1956-03-12},Linda Sue Park{ datum_rodjenja:1960-03-25},Tim Wynne-Jones{ datum_rodjenja:1948-08-12}",USA,engleski,Arthur A. Levine Books,2007-10-01,217,tvrdi,https://en.wikipedia.org/wiki/Click_(novel),roman
